model,training_population,training_p_noise,training_opponent,training_history_length,training_memory_label,seed,test_opponent,episodes,n_rounds,p_noise,observation_mode,history_length,mean_reward,std_reward,mean_reward_per_round,mean_cooperation_rate,mean_defection_rate
q_agent_partial_obs_vs_hard_majo_last1_seed3,,0.0,hard_majo,1,last1,3,cycler_ddc,100,200,0.0,last_n,1,408.0,0.0,2.04,0.25,0.75
q_agent_partial_obs_vs_hard_majo_last1_seed3,,0.0,hard_majo,1,last1,3,cycler_ccd,100,200,0.0,last_n,1,641.0,0.0,3.205,0.29500000000000004,0.7049999999999998
q_agent_partial_obs_vs_hard_majo_last1_seed3,,0.0,hard_majo,1,last1,3,hard_majo,100,200,0.0,last_n,1,539.0,0.0,2.695,0.28500000000000003,0.7150000000000002
q_agent_partial_obs_vs_hard_majo_last1_seed3,,0.0,hard_majo,1,last1,3,soft_majo,100,200,0.0,last_n,1,552.0,0.0,2.76,0.29500000000000004,0.7049999999999998
q_agent_partial_obs_vs_hard_majo_last3_seed1,,0.0,hard_majo,3,last3,1,tftt,100,200,0.0,last_n,3,327.0,0.0,1.635,0.15999999999999998,0.8400000000000002
q_agent_partial_obs_vs_hard_majo_last3_seed1,,0.0,hard_majo,3,last3,1,hard_tft,100,200,0.0,last_n,3,230.0,0.0,1.15,0.15499999999999997,0.845
q_agent_partial_obs_vs_hard_majo_last3_seed1,,0.0,hard_majo,3,last3,1,cycler_ddc,100,200,0.0,last_n,3,208.0,0.0,1.04,0.95,0.04999999999999999
q_agent_partial_obs_vs_hard_majo_last3_seed1,,0.0,hard_majo,3,last3,1,cycler_ccd,100,200,0.0,last_n,3,412.0,0.0,2.06,0.95,0.04999999999999999
q_agent_partial_obs_vs_hard_majo_last3_seed1,,0.0,hard_majo,3,last3,1,hard_majo,100,200,0.0,last_n,3,359.0,0.0,1.795,0.135,0.8649999999999999
q_agent_partial_obs_vs_hard_majo_last3_seed1,,0.0,hard_majo,3,last3,1,soft_majo,100,200,0.0,last_n,3,704.0,0.0,3.52,0.5050000000000001,0.49499999999999994
q_agent_partial_obs_vs_hard_majo_last3_seed2,,0.0,hard_majo,3,last3,2,tftt,100,200,0.0,last_n,3,301.0,0.0,1.505,0.12,0.88
q_agent_partial_obs_vs_hard_majo_last3_seed2,,0.0,hard_majo,3,last3,2,hard_tft,100,200,0.0,last_n,3,220.0,0.0,1.1,0.065,0.9350000000000004
q_agent_partial_obs_vs_hard_majo_last3_seed2,,0.0,hard_majo,3,last3,2,cycler_ddc,100,200,0.0,last_n,3,206.0,0.0,1.03,0.96,0.039999999999999994
q_agent_partial_obs_vs_hard_majo_last3_seed2,,0.0,hard_majo,3,last3,2,cycler_ccd,100,200,0.0,last_n,3,411.0,0.0,2.055,0.9549999999999998,0.04499999999999999
q_agent_partial_obs_vs_hard_majo_last3_seed2,,0.0,hard_majo,3,last3,2,hard_majo,100,200,0.0,last_n,3,589.0,0.0,2.945,0.35499999999999987,0.645
q_agent_partial_obs_vs_hard_majo_last3_seed2,,0.0,hard_majo,3,last3,2,soft_majo,100,200,0.0,last_n,3,742.0,0.0,3.71,0.5,0.5
q_agent_partial_obs_vs_hard_majo_last3_seed3,,0.0,hard_majo,3,last3,3,tftt,100,200,0.0,last_n,3,424.0,0.0,2.12,0.31500000000000006,0.6850000000000003
q_agent_partial_obs_vs_hard_majo_last3_seed3,,0.0,hard_majo,3,last3,3,hard_tft,100,200,0.0,last_n,3,226.0,0.0,1.13,0.19500000000000003,0.8050000000000002
q_agent_partial_obs_vs_hard_majo_last3_seed3,,0.0,hard_majo,3,last3,3,cycler_ddc,100,200,0.0,last_n,3,208.0,0.0,1.04,0.95,0.04999999999999999
q_agent_partial_obs_vs_hard_majo_last3_seed3,,0.0,hard_majo,3,last3,3,cycler_ccd,100,200,0.0,last_n,3,418.0,0.0,2.09,0.9200000000000002,0.07999999999999999
q_agent_partial_obs_vs_hard_majo_last3_seed3,,0.0,hard_majo,3,last3,3,hard_majo,100,200,0.0,last_n,3,532.0,0.0,2.66,0.29,0.7099999999999997
q_agent_partial_obs_vs_hard_majo_last3_seed3,,0.0,hard_majo,3,last3,3,soft_majo,100,200,0.0,last_n,3,738.0,0.0,3.69,0.5099999999999998,0.4900000000000002
q_agent_partial_obs_vs_hard_tft_last1_seed1,,0.0,hard_tft,1,last1,1,tftt,100,200,0.0,last_n,1,226.0,0.0,1.13,0.04499999999999999,0.9549999999999998
q_agent_partial_obs_vs_hard_tft_last1_seed1,,0.0,hard_tft,1,last1,1,hard_tft,100,200,0.0,last_n,1,222.0,0.0,1.11,0.04499999999999999,0.9549999999999998
q_agent_partial_obs_vs_hard_tft_last1_seed1,,0.0,hard_tft,1,last1,1,cycler_ddc,100,200,0.0,last_n,1,440.0,0.0,2.2,0.12,0.88
q_agent_partial_obs_vs_hard_tft_last1_seed1,,0.0,hard_tft,1,last1,1,cycler_ccd,100,200,0.0,last_n,1,646.0,0.0,3.23,0.3,0.7000000000000002
q_agent_partial_obs_vs_hard_tft_last1_seed1,,0.0,hard_tft,1,last1,1,hard_majo,100,200,0.0,last_n,1,275.0,0.0,1.375,0.065,0.9350000000000004
