model,training_population,training_p_noise,test_opponent,episodes,n_rounds,p_noise,observation_mode,history_length,mean_reward,std_reward,mean_reward_per_round,mean_cooperation_rate,mean_defection_rate
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,soft_majo,100,200,0.1,last_n,3,289.66,175.1151746708434,1.4483000000000001,0.37695,0.62305
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,hard_majo,100,200,0.1,last_n,3,245.39,128.25442643433405,1.22695,0.34385,0.6561499999999999
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,joss,100,200,0.1,last_n,3,421.66,20.086921117981223,2.1083000000000003,0.48355000000000004,0.51645
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,soft_joss,100,200,0.1,last_n,3,432.78,21.159669184559572,2.1639,0.4851499999999999,0.51485
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,prober,100,200,0.1,last_n,3,446.69,38.07852281798757,2.23345,0.4924,0.5076
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,prober_3,100,200,0.1,last_n,3,425.52,74.34977874883018,2.1275999999999997,0.47435000000000005,0.52565
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,hard_prober,100,200,0.1,last_n,3,435.91,61.00591692614742,2.1795500000000003,0.4816500000000001,0.51835
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,tft,100,200,0.2,last_n,3,449.51,22.65766757634157,2.24755,0.51595,0.48405000000000004
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,mist,100,200,0.2,last_n,3,448.25,21.75655073765141,2.24125,0.51595,0.48405000000000004
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,tftt,100,200,0.2,last_n,3,555.18,20.69511053365021,2.7758999999999996,0.63195,0.36805000000000004
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,hard_tft,100,200,0.2,last_n,3,304.82,20.75686874265962,1.5241,0.45485,0.54515
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,generous_tft,100,200,0.2,last_n,3,470.94,21.42420126865877,2.3547,0.5404,0.4596
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,alld,100,200,0.2,last_n,3,253.51,19.79115711624765,1.26755,0.42239999999999994,0.5776000000000001
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,soft_majo,100,200,0.2,last_n,3,414.61,159.19396313931003,2.0730500000000003,0.5386499999999999,0.46135
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,hard_majo,100,200,0.2,last_n,3,416.76,156.51511875854038,2.0838,0.5415000000000001,0.45849999999999996
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,joss,100,200,0.2,last_n,3,431.67,22.642903965701922,2.15835,0.5111,0.4889
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,soft_joss,100,200,0.2,last_n,3,436.59,21.623179692172936,2.18295,0.5142499999999999,0.4857500000000001
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,prober,100,200,0.2,last_n,3,441.51,51.40184724307094,2.20755,0.51575,0.48425000000000007
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,prober_3,100,200,0.2,last_n,3,413.92,80.21978309619143,2.0696,0.5002499999999999,0.4997499999999999
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,hard_prober,100,200,0.2,last_n,3,433.98,58.63582181567851,2.1699,0.5121999999999999,0.4878
